"rgb","r","g","b","colorname","RGB"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"50 - 80 - 100","50","80","100","grey","[50, 80, 100]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"160 - 180 - 20","160","180","20","lime","[160, 180, 20]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"150 - 200 - 180","150","200","180","aqua","[150, 200, 180]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"200 - 100 - 70","200","100","70","rust","[200, 100, 70]"
"50 - 80 - 100","50","80","100","grey","[50, 80, 100]"
"70 - 100 - 90","70","100","90","coal","[70, 100, 90]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"200 - 170 - 170","200","170","170","grey","[200, 170, 170]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"190 - 220 - 210","190","220","210","grey","[190, 220, 210]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"160 - 0 - 80","160","0","80","rose","[160, 0, 80]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"190 - 220 - 210","190","220","210","teal","[190, 220, 210]"
"70 - 100 - 90","70","100","90","grey","[70, 100, 90]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"250 - 240 - 0","250","240","0","ttfn","[250, 240, 0]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"170 - 160 - 40","170","160","40","puce","[170, 160, 40]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"200 - 160 - 180","200","160","180","pink","[200, 160, 180]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"200 - 100 - 70","200","100","70","rust","[200, 100, 70]"
"200 - 160 - 180","200","160","180","pink","[200, 160, 180]"
"50 - 80 - 100","50","80","100","grey","[50, 80, 100]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"200 - 160 - 180","200","160","180","pink","[200, 160, 180]"
"200 - 170 - 170","200","170","170","pink","[200, 170, 170]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"190 - 220 - 210","190","220","210","grey","[190, 220, 210]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"190 - 220 - 210","190","220","210","grey","[190, 220, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"170 - 160 - 40","170","160","40","puce","[170, 160, 40]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"200 - 170 - 170","200","170","170","grey","[200, 170, 170]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"190 - 220 - 210","190","220","210","blue","[190, 220, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"220 - 240 - 150","220","240","150","ecru","[220, 240, 150]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"150 - 200 - 180","150","200","180","sage","[150, 200, 180]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"100 - 60 - 20","100","60","20","poop","[100, 60, 20]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"190 - 220 - 210","190","220","210","aqua","[190, 220, 210]"
"250 - 240 - 0","250","240","0","taxi","[250, 240, 0]"
"160 - 180 - 20","160","180","20","moss","[160, 180, 20]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"70 - 100 - 90","70","100","90","grey","[70, 100, 90]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"70 - 100 - 90","70","100","90","grey","[70, 100, 90]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"200 - 170 - 170","200","170","170","plum","[200, 170, 170]"
"200 - 100 - 70","200","100","70","rust","[200, 100, 70]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"200 - 170 - 170","200","170","170","fawn","[200, 170, 170]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"110 - 100 - 10","110","100","10","peas","[110, 100, 10]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"110 - 100 - 10","110","100","10","gold","[110, 100, 10]"
"50 - 80 - 100","50","80","100","gray","[50, 80, 100]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"200 - 100 - 70","200","100","70","rust","[200, 100, 70]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"190 - 220 - 210","190","220","210","teal","[190, 220, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"220 - 240 - 150","220","240","150","puke","[220, 240, 150]"
"70 - 100 - 90","70","100","90","grey","[70, 100, 90]"
"150 - 200 - 180","150","200","180","mint","[150, 200, 180]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"200 - 160 - 180","200","160","180","pink","[200, 160, 180]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"150 - 200 - 180","150","200","180","grey","[150, 200, 180]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"200 - 100 - 70","200","100","70","clay","[200, 100, 70]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"110 - 100 - 10","110","100","10","poop","[110, 100, 10]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"200 - 100 - 70","200","100","70","rose","[200, 100, 70]"
"150 - 200 - 180","150","200","180","teal","[150, 200, 180]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"200 - 170 - 170","200","170","170","pink","[200, 170, 170]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"200 - 170 - 170","200","170","170","ping","[200, 170, 170]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"200 - 160 - 180","200","160","180","pink","[200, 160, 180]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"150 - 200 - 180","150","200","180","teal","[150, 200, 180]"
"170 - 160 - 40","170","160","40","dirt","[170, 160, 40]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"190 - 220 - 210","190","220","210","mint","[190, 220, 210]"
"200 - 160 - 180","200","160","180","grey","[200, 160, 180]"
"160 - 0 - 80","160","0","80","pink","[160, 0, 80]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"160 - 0 - 80","160","0","80","pink","[160, 0, 80]"
"160 - 180 - 20","160","180","20","puke","[160, 180, 20]"
"160 - 0 - 80","160","0","80","wine","[160, 0, 80]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"190 - 220 - 210","190","220","210","blue","[190, 220, 210]"
"200 - 100 - 70","200","100","70","rose","[200, 100, 70]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"170 - 160 - 40","170","160","40","sand","[170, 160, 40]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"200 - 170 - 170","200","170","170","pink","[200, 170, 170]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"150 - 200 - 180","150","200","180","aqua","[150, 200, 180]"
"170 - 160 - 40","170","160","40","ugly","[170, 160, 40]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"190 - 220 - 210","190","220","210","grey","[190, 220, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"50 - 80 - 100","50","80","100","nlue","[50, 80, 100]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"200 - 160 - 180","200","160","180","pink","[200, 160, 180]"
"200 - 160 - 180","200","160","180","pink","[200, 160, 180]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"50 - 80 - 100","50","80","100","grey","[50, 80, 100]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"200 - 160 - 180","200","160","180","pink","[200, 160, 180]"
"70 - 100 - 90","70","100","90","aqua","[70, 100, 90]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"70 - 100 - 90","70","100","90","grey","[70, 100, 90]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"200 - 100 - 70","200","100","70","pink","[200, 100, 70]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"160 - 0 - 80","160","0","80","wine","[160, 0, 80]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"200 - 160 - 180","200","160","180","puce","[200, 160, 180]"
"50 - 80 - 100","50","80","100","navy","[50, 80, 100]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"200 - 160 - 180","200","160","180","pink","[200, 160, 180]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"70 - 100 - 90","70","100","90","gray","[70, 100, 90]"
"50 - 80 - 100","50","80","100","navy","[50, 80, 100]"
"200 - 100 - 70","200","100","70","clay","[200, 100, 70]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"50 - 80 - 100","50","80","100","navy","[50, 80, 100]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"70 - 100 - 90","70","100","90","grey","[70, 100, 90]"
"160 - 180 - 20","160","180","20","puce","[160, 180, 20]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"70 - 100 - 90","70","100","90","grey","[70, 100, 90]"
"200 - 170 - 170","200","170","170","gray","[200, 170, 170]"
"150 - 200 - 180","150","200","180","blue","[150, 200, 180]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"200 - 170 - 170","200","170","170","grey","[200, 170, 170]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"200 - 160 - 180","200","160","180","pink","[200, 160, 180]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"160 - 180 - 20","160","180","20","ugly","[160, 180, 20]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"200 - 160 - 180","200","160","180","pink","[200, 160, 180]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"200 - 100 - 70","200","100","70","clay","[200, 100, 70]"
"220 - 240 - 150","220","240","150","lime","[220, 240, 150]"
"50 - 80 - 100","50","80","100","navy","[50, 80, 100]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"200 - 160 - 180","200","160","180","pink","[200, 160, 180]"
"120 - 80 - 40","120","80","40","dirt","[120, 80, 40]"
"170 - 160 - 40","170","160","40","barf","[170, 160, 40]"
"50 - 80 - 100","50","80","100","teal","[50, 80, 100]"
"160 - 0 - 80","160","0","80","wine","[160, 0, 80]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"200 - 170 - 170","200","170","170","grey","[200, 170, 170]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"70 - 100 - 90","70","100","90","grey","[70, 100, 90]"
"200 - 160 - 180","200","160","180","grey","[200, 160, 180]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"160 - 180 - 20","160","180","20","lime","[160, 180, 20]"
"160 - 180 - 20","160","180","20","puke","[160, 180, 20]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"150 - 200 - 180","150","200","180","blue","[150, 200, 180]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"150 - 200 - 180","150","200","180","aqua","[150, 200, 180]"
"70 - 100 - 90","70","100","90","teal","[70, 100, 90]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"50 - 80 - 100","50","80","100","grey","[50, 80, 100]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"200 - 170 - 170","200","170","170","clay","[200, 170, 170]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"200 - 160 - 180","200","160","180","pink","[200, 160, 180]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"70 - 100 - 90","70","100","90","navy","[70, 100, 90]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"200 - 100 - 70","200","100","70","rust","[200, 100, 70]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"170 - 160 - 40","170","160","40","sand","[170, 160, 40]"
"130 - 130 - 130","130","130","130","gray","[130, 130, 130]"
"50 - 80 - 100","50","80","100","teal","[50, 80, 100]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"160 - 0 - 80","160","0","80","pink","[160, 0, 80]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"150 - 200 - 180","150","200","180","blue","[150, 200, 180]"
"200 - 160 - 180","200","160","180","pink","[200, 160, 180]"
"130 - 130 - 130","130","130","130","grey","[130, 130, 130]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"200 - 160 - 180","200","160","180","pink","[200, 160, 180]"
"150 - 200 - 180","150","200","180","aqua","[150, 200, 180]"
"70 - 100 - 90","70","100","90","grey","[70, 100, 90]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"200 - 100 - 70","200","100","70","pink","[200, 100, 70]"
"190 - 220 - 210","190","220","210","sage","[190, 220, 210]"
"190 - 220 - 210","190","220","210","gray","[190, 220, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"50 - 80 - 100","50","80","100","blue","[50, 80, 100]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"30 - 90 - 210","30","90","210","blue","[30, 90, 210]"
"10 - 90 - 210","10","90","210","blue","[10, 90, 210]"
